бермудские острова	l21546
колпашево	c11349
кривошеино	c22555
рыбалово	c62183
мельниково	c22557
молчаново	c22556
парабель	c22551
зырянское	c22553
первомайское	c22552
киндал	c62081
зоркальцево	c43906
новоюгино	c62085
асино	c20658
подгорное	c21673
бакчар	c21672
каргасок	c21675
белый яр	c21674
тегульдет	c21677
сосновка	c62088
богашёво	c42201
стрежевой	c11352
суйга	c62134
александровское	c70248
вознесенка	c62191
малиновка	c62099
староюгино	c62091
тымск	c62092
усть-тым	c62093
могочино	c62131
сулзат	c62135
кожевниково	c22554
томск	c67
батурино	c85177
озерное	c62116
назино	c62032
моряковский затон	c62176
лукашкин яр	c62031
лоскутово	c62172
октябрьский	c62034
вертикос	c62079
республика бурятия	r11330
бар	c70242
новая брянь	c64328
новосретенка	c64419
селендума	c64380
татарский ключ	c64329
кабанск	c24492
курумкан	c24493
илька	c64326
горячинск	c24491
селенгинск	c11328
баянгол	c64298
кика	c64359
хоринск	c26322
джида	c21818
турунтаево	c26320
тарбагатай	c26321
нижнеангарск	c21815
калиновка	c64428
бабушкин	c21816
кижинга	c26317
петропавловка	c26315
гусиноозерск	c11326
северобайкальск	c11327
никольск	c64429
багдарин	c26372
поселье	c64421
бичура	c26314
оймур	c64398
зырянск	c64358
гремячинск	c24490
верхние тальцы	c64388
гусиное озеро	c64373
бараты	c64372
жемчуг	c64440
тунка	c64443
монды	c64442
кырен	c24489
аршан	c24488
цолга	c70243
алтачей	c70241
улюн	c64302
горхон	c64325
таксимо	c21828
северомуйск	c21829
закаменск	c20081
выдрино	c42345
удинск	c64391
максимиха	c64300
орлик	c26319
мухоршибирь	c26318
усть-баргузин	c21820
баргузин	c21821
ильинка	c21822
онохой	c21823
заиграево	c21824
новоильинск	c21825
сосново-озерское	c21826
новый уоян	c21827
саган-нур	c26469
шибертуй	c64425
буй	c64414
хонхолой	c64434
шаралдай	c64435
малый куналей	c64418
десятниково	c64437
новый заган	c64430
улан-удэ	c198
барагхан	c64342
клюевка	c64396
кичера	c64368
танхой	c64402
кяхта	c20082
сотниково	c42342
турка	c21819
наушки	c64348
харашибирь	c64433
мостовка	c64360
нестерово	c64361
таловка	c64363
владимирская область	r10658
сельцо	c85078
костерёво	c26368
курлово	c24450
якиманская слобода	c49434
юрьев-польский	c20757
добрынское	c85388
вязники	c10659
красный маяк	c49221
малыгино	c49223
балакирево	c10657
александров	c10656
первомайский	c49226
поздняково	c85047
серково (стёпанцевское с.п.)	c85048
мезиновский	c49371
кузнецы	c85440
новый быт	c85441
чертково	c85442
лукново	c49403
октябрьский	c49407
новоалександрово	c49390
порецкое	c49392
сновицы	c49393
торчино	c49395
сергеево	c85050
степанцево	c49417
станки	c49416
серково (октябрьское с.п.)	c49415
липна	c45137
лакинск	c22340
покров	c22341
струнино	c22342
болдино	c45138
новое аннино	c45139
чудиново	c49418
ефремово	c85400
копнино	c49246
радужный	c20678
цибеево	c85402
гусь-хрустальный	c10661
бутылицы	c49325
пенкино	c49321
архангел	c49323
оргтруд	c64628
гавриловское	c85403
борисовское	c49382
лемешки	c64627
уршельский	c49380
андреевское	c72869
березники	c49255
владимир	c192
вышманово	c49257
волосово	c49256
ельтесуново	c49259
сенинские дворики	c24171
новки	c49319
болотский	c85424
красный богатырь	c85425
ликино	c85422
тюрмеровка	c85423
лунёво	c85353
фоминки	c49313
чулково	c49314
лаврово	c85428
вяткино	c45296
барыкино (ильинское с.п.)	c73005
иваново	c85333
быкасово	c67734
павловское	c42728
судогда	c20629
елькино	c72871
андреевское	c72870
ковардицы	c85439
красный октябрь	c42726
мелехово	c42727
новосёлка (раздольевское с.п.)	c73003
энергетик	c49267
булатниково	c85437
кишлеево	c49262
переложниково	c85435
вольгинский	c26290
драчёво	c85436
мележи	c34395
жуклино	c34390
искра	c34391
красное пламя	c34392
лисавы	c34393
бараки	c42737
андреево	c42736
колокша	c42734
ворша	c42733
мостострой	c64989
головино	c42731
вековка	c22339
ставрово	c22338
труд	c85971
чамерево	c49278
костино	c45140
нечаевская	c49374
красный куст	c49273
карабаново	c28798
анкудиново	c45136
мошок	c49275
зимёнки	c85438
камешково	c10662
киржач	c10663
гороховец	c10660
данилково	c34388
красная горбатка	c10666
меленки	c10667
ковров	c10664
кольчугино	c10665
муром	c10668
петушки	c10669
смолино	c67718
барыкино (есиплевское с.п.)	c73004
поселок станции мстера	c65567
кипрево	c49296
великодворский	c42746
боголюбово	c42747
поселок им. карла маркса	c65563
новосёлка (есиплевское с.п.)	c73002
садовый	c42748
нерехта	c67716
имени воровского	c67728
новая	c85426
золотково	c49365
бег	c85427
суздаль	c10671
собинка	c10670
фёдоровское	c85418
никологоры	c42750
муромцево	c85421
старое перепечино	c39663
тельвяково	c39820
красный луч	c39667
санино	c39666
глубоково	c39665
городищи	c39664
каменка	c85393
лухтоново	c40759
пестенькино	c49429
следнево	c49355
дмитриевская слобода	c49423
эдон	c49420
киржач	c39740
добрынское	c85392
травинино	c85429
мурманская область	r10897
островной	c22140
ловозеро	c22141
никель	c22146
туманный	c22147
верхнетуломский	c22144
умба	c22145
видяево	c22148
сосновка	c66116
чапома	c66119
тетрино	c54983
сафоново	c43867
полярный	c20157
полярные зори	c20156
оленегорск	c20155
кола	c20154
ковдор	c20153
кировск	c20152
заполярный	c20151
печенга	c10900
ревда	c85994
мишуково	c26580
зареченск	c26581
мурманск	c23
снежногорск	c10899
североморск	c10898
кандалакша	c10895
апатиты	c10894
мончегорск	c10896
гаджиево	c21665
териберка	c10901
килпъявр	c39491
заозерск	c20150
алтайский край	r11235
быстрый исток	c22579
бурла	c22578
баево	c22577
алтайское	c22576
половинка	c62846
самарка	c62841
ракиты	c62840
бураново	c62626
шубенка	c62624
плешково	c62622
новая чемровка	c62621
мирный	c62620
красный яр	c62491
залесово	c22584
троицкое	c11254
усть-калманка	c11255
родино	c11250
рубцовск	c11251
славгород	c11252
тальменка	c11253
марушка	c63066
рассказиха	c62799
златополь	c62704
акутиха	c62549
веселоярск	c62831
новониколаевка	c62836
половинкино	c62839
бобровка	c62788
ребриха	c11249
поспелиха	c11248
кулунда	c11243
камень-на-оби	c11242
красный боец	c85055
заринск	c11240
павловск	c11247
новоалтайск	c11246
михайловское	c11245
мамонтово	c11244
верх-озерное	c62551
усть-ануй	c62555
колывань	c62713
ельцовка	c22582
завьялово	c22583
волчиха	c22580
новоегорьевское	c22581
калманка	c22586
ключи	c22587
нижняя петровка	c62795
бобково	c62829
косиха	c22588
красногорское	c22589
воеводское	c63063
верх-марушка	c63061
коротояк	c62961
благовещенка	c11238
горняк	c11239
белокуриха	c11236
алейск	c11234
кокши	c42242
барнаул	c197
березовка	c62670
соусканиха	c62678
целинное	c22612
краснощеково	c22590
кытманово	c22593
курья	c22592
новичиха	c22595
гальбштадт	c22594
петропавловское	c22597
панкрушиха	c22596
смоленское	c22599
романово	c22598
сухая чемровка	c63070
шалап	c63072
сибирский	c21697
верх-бехтемир	c67247
глубокое	c62581
урожайное	c62849
стан-бехтемир	c67248
шипуново	c21698
енисейское	c42232
малоенисейское	c42233
октябрьский	c42231
бочкари	c42245
первомайское	c42234
степное озеро	c42235
бийск	c975
солонешное	c22601
советское	c22600
соловьиха	c62808
тогул	c22605
табуны	c22604
тюменцево	c22607
топчиха	c22606
усть-чарышская пристань	c22609
угловское	c22608
змеиногорск	c11241
верх-обский	c63046
макарьевка	c62674
калистратиха	c62628
сузоп	c62862
михайловка	c20722
точильное	c63053
новотырышкино	c63051
малиновое озеро	c39563
чинета	c62692
верх-суетка	c26285
яровое	c20080
староалейское	c26286
солтон	c22602
талица	c62848
луговское	c62619
шульгинка	c62851
шульгин лог	c62852
топольное	c62857
крутиха	c22591
шелаболиха	c22613
локоть	c63028
хабары	c22610
куйбышево	c62683
поповичи	c63068
чарышское	c22611
верх-катунское	c62518
шатуново	c62602
хлебороб	c62818
старобелокуриха	c62510
зональное	c28922
шебалино	c62528
шадрино	c62633
боровлянка	c62917
новиково	c62522
светлоозерское	c62523
сростки	c62524
старая чемровка	c62525
усть-катунь	c62526
усятское	c62527
брянская область	r10650
бытошь	c22533
белая берёзка	c22532
жирятино	c22537
дубровка	c22536
гордеевка	c22535
выгоничи	c22534
клетня	c22539
ивот	c22538
дубровка	c85218
фокино	c24452
унеча	c20191
трубчевск	c20190
старь	c26459
сеща	c26435
погребы	c48792
гостиловка	c49063
леденево	c49068
летошники	c49069
клинцы	c10653
жуковка	c10652
дятьково	c10651
мичуринский	c39518
карачев	c10655
новозыбков	c10654
глинищево	c41914
пеклино	c48827
белые берега	c28740
путёвка	c42722
рогнедино	c22546
суземка	c22547
навля	c22544
погар	c22545
стародуб	c20188
сураж	c20189
климово	c22540
комаричи	c22541
злынка	c20184
мглин	c20185
почеп	c20186
любохна	c85995
брянск	c191
ржаница	c85443
сельцо	c21701
севск	c20187
красный колодец	c48789
речица	c42717
красная гора	c22542
бяково	c48930
овстуг	c49071
никольская слобода	c49070
локоть	c22543
ямало-ненецкий автономный округ	r11232
красноселькуп	c20875
лабытнанги	c22463
муравленко	c24473
аксарка	c22462
питляр	c22230
шурышкары	c22231
новый порт	c22232
панаевск	c22233
надым	c11229
сеяха	c22235
сабетта	c40067
находка	c39284
толька	c22186
сывдарма	c47894
ямбург	c21754
ныда	c23369
нори	c23368
самбург	c47893
харп	c26473
кутопьюган	c23367
газ-сале	c65548
катравож	c47898
гыда	c27024
салехард	c58
казым-мыс	c22247
бованенково	c39704
мыс каменный	c22178
уренгой	c24466
тарко-сале	c20255
пангоды	c22465
коротчаево	c22464
пуровск	c22467
овгорт	c22229
мужи	c22228
лопхари	c22227
горки	c22226
яр-сале	c22225
вынгапуровский	c42635
пурпе	c22468
новый уренгой	c11230
ноябрьск	c11231
азовы	c23358
восяхово	c22248
тазовский	c22198
антипаюта	c27023
салемал	c22234
губкинский	c11228
волгоградская область	r10950
ветютнев	c47085
красный октябрь	c85219
качалино	c65526
эльтон	c10984
чернышковский	c10983
фролово	c10982
урюпинск	c10981
суровикино	c10980
комсомольский	c47003
нижняя добринка	c47141
быково	c10949
алексеевская	c10948
новониколаевский	c10969
новоаннинский	c10968
третий решающий	c47242
волгоград	c38
горный балыклей	c47109
котельниково	c10961
клетский	c10960
кумылженская	c10963
цаца	c42147
михайловка	c10965
ленинск	c10964
николаевск	c10967
нехаевская	c10966
красный октябрь	c85220
комсомольский	c85221
котово	c10962
горьковский	c26566
краснослободск	c22548
дубовка	c10954
елань	c10955
жирновск	c10956
иловля	c10957
волжский	c10951
городище	c10952
даниловка	c10953
калач-на-дону	c10958
камышин	c10959
алексиковский	c47336
старая полтавка	c10979
палласовка	c10972
петров вал	c10973
октябрьский	c10970
ольховка	c10971
светлый яр	c10976
серафимович	c10977
преображенская	c10974
рудня	c10975
самарская область	r11131
зольное	c84737
новая бинарадка	c60372
подвалье	c60358
клявлино	c22658
красноармейское	c22659
елховка	c22656
камышла	c22657
суходол	c22654
алексеевка	c22655
старая рачейка	c60298
старый буян	c24219
богатое	c22650
большая черниговка	c22651
троицкое	c24276
юреево	c24357
юмратка	c24356
чекалино	c24320
старая кармала	c24197
чапаевск	c11141
нефтегорск	c11134
михайловка	c60222
рождествено	c60090
старое максимкино	c24205
самара	c51
климовка	c69898
бестужевка	c60099
борское	c22649
большая романовка	c60443
сургут	c22661
сергиевск	c22645
мирный	c24029
новая жизнь	c24064
шигоны	c22662
надеждино	c60447
приволжье	c22644
узюково	c24283
переволоки	c24104
тимяшево	c60344
ивашевка	c23917
ширяево	c84739
солнечная поляна	c84738
кинель	c11133
жигулевск	c11132
новокуйбышевск	c11135
шентала	c22648
отрадный	c11137
октябрьск	c11136
сызрань	c11139
похвистнево	c11138
челно-вершины	c22647
хворостянка	c22646
кошки	c22641
кинель-черкассы	c22640
пестравка	c22643
богатырь	c84736
борма	c23823
кушниково	c23998
мусорка	c24043
серноводск	c37315
усть-кинельский	c37314
тольятти	c240
курумоч	c23996
красный яр	c22660
усолье	c60362
смышляевка	c26526
валы	c23834
исаклы	c22652
новодевичье	c60356
большое ермаково	c60444
заглядовка	c23903
безенчук	c22638
большая глушица	c22639
печерское	c24106
еврейская автономная область	r10243
облучье	c11394
бира	c56092
биробиджан	c11393
приамурский	c43748
теплоозёрск	c26336
ленинское	c22447
известковый	c22446
волочаевка	c22444
смидович	c22443
николаевка	c43747
биракан	c28439
липецкая область	r10712
конь-колодезь	c65806
крещенка	c65807
маховище	c65659
елецкая лозовка	c65805
боровое	c65716
дмитряшевка	c65803
введенка	c65800
вербилово	c65653
крутогорье	c65657
ильино	c65656
малинино	c65808
грязи	c20210
елец	c10713
голиково	c50303
большие извалы	c50302
усмань	c20214
соколье	c50304
чаплыгин	c10714
сторожевое	c72659
новополянье	c65702
астапово	c65771
становое	c26279
казаки	c65816
нижняя колыбелька	c65811
новое дубовое	c65812
нижний воргол	c65818
верхний телелюй	c68018
плавица	c65620
набережное	c50291
большие избищи	c65739
октябрьское	c65730
поддубровка	c65732
савицкое	c65733
верхнедрезгалово	c65638
чернава	c65635
дрязги	c65712
долгоруково	c23188
ворон-лозовка	c65802
новоуглянка	c65729
никольское	c65728
кривка	c65722
девица	c65720
никольские выселки	c65727
московка	c65726
куриловка	c65725
куликово	c65724
коренёвщино	c50217
каликино	c50216
замартынье	c50215
екатериновка	c50214
нижняя матренка	c50198
борисовка	c50211
дубовое	c50191
крутое	c50219
кривец	c50218
елец-маланино	c68058
фомина-негачевка	c68059
головщино	c50174
карамышево	c50175
верхняя колыбелька	c50301
данков	c20211
задонск	c20212
лебедянь	c20213
болховское	c65758
верхний студенец	c65759
телелюй	c50183
сошки	c50182
ярлуково	c50185
фащевка	c50184
волово	c22137
тербуны	c22136
измалково	c22135
красное	c22134
лев толстой	c22133
казино	c68044
добринка	c22139
хлевное	c22138
липецк	c9
большой самовец	c42819
кузьминские отвержки	c42830
ленино	c42831
подгорное	c42832
сырское	c42833
сенцово	c65662
ситовка	c65663
новая деревня	c65660
частая дубрава	c65668
троекурово	c85401
стрелецкие хутора	c85404
поселок совхоза "агроном"	c85405
волотово	c85406
куймань	c65746
плеханово	c42823
казинка	c42822
двуречки	c42821
бутырки	c42820
елецкое	c42827
боринское	c42826
большая кузьминка	c42825
косырёвка	c42829
большая поляна	c65670
вторые тербуны	c65674
солидарность	c68064
студеные выселки	c50248
кривополянье	c50249
гудово	c50213
афанасьево	c50246
трубетчино	c50226
воробьёвка	c85992
рогожино	c65766
излегоще	c50250
донское	c65760
рождество	c65647
гудаловка	c68032
доброе	c20266
ломовое	c72632
карагандинская область	r21752
республика карелия	r10933
марциальные воды	c21696
поселок 14 км дороги кемь-калевала	c66146
валаам	c24500
кижи	c24501
старая кузема	c24502
святозеро	c55436
ууксу	c69065
новая вилга	c85997
колатсельга	c69069
песчаное	c55450
чална	c43515
вяртсиля	c43516
сосновый	c55366
матросы	c85456
хийтола	c55360
элисенваара	c55361
кестеньга	c55362
шуя	c85454
ляскеля	c55412
устье тулоксы	c55410
медвежьегорск	c20128
ряймяля	c55414
салми	c55415
лоухи	c26293
петрозаводск	c18
муезерский	c26294
пряжа	c26295
пудож	c20131
питкяранта	c20130
суоярви	c20132
рауталахти	c55413
костомукша	c10935
повенец	c55380
янишполе	c55354
чупа	c55371
ладва-ветка	c55423
пиндуши	c26466
рыбрека	c55427
сенная губа	c55381
эссойла	c85998
ладва	c55424
хелюля	c85996
шуйская	c66143
шелтозеро	c55428
летнереченский	c26582
поросозеро	c55475
амбарный	c26521
надвоицы	c26522
бесовец	c39534
калевала	c21459
крошнозеро	c85455
великая губа	c55374
видлица	c55401
золотец	c55333
ковера	c55403
ильинский	c55402
ледмозеро	c55391
новая габсельга	c69062
мегрега	c55406
сегежа	c10936
сортавала	c10937
кондопога	c10934
олонец	c20129
рускеала	c73088
сосновец	c55339
пушной	c55338
авдеево	c55439
гирвас	c55350
спасская губа	c55353
колежма	c55334
кемь	c20126
лахденпохья	c20127
беломорск	c10938
республика коми	r10939
кырта	c69024
кожва	c55260
микунь	c21695
подчерье	c69027
визинга	c21959
койгородок	c21960
жешарт	c21957
усть-соплеск	c69028
зеленец	c43551
мутный материк	c69046
седью	c66137
денисовка	c69044
захарвань	c69045
акись	c69043
щельяюр	c20811
вендинга	c21363
айкино	c21965
ыб	c55242
озерный	c69032
парма	c69048
верхняя омра	c69036
сосногорск	c10943
печора	c10942
инта	c10941
воркута	c10940
додзь	c68991
ухта	c10945
усинск	c10944
медвежка	c55322
верхняя максаковка	c84673
ношуль	c55225
сыктывкар	c19
новый бор	c55324
окунев нос	c55325
усть-кулом	c21160
вуктыл	c20133
объячево	c21041
войвож	c21963
илья-шор	c39298
летка	c21961
куратово	c85283
красный яг	c69031
усогорск	c21962
ярега	c44076
усть-цильма	c21964
ижма	c21967
корткерос	c21966
шудаяг	c44074
малая пера	c69039
межег	c39299
ираёль	c36317
усть-уса	c69051
усть-лыжа	c69050
уег	c55329
краснозатонский	c44013
верхнеижемский	c69035
шугрэм	c55255
приуральское	c55262
троицко-печорск	c21150
визиндор	c55245
водный	c43976
няшабож	c55179
кослан	c21984
выльгорт	c21983
кедровый шор	c55259
щельябож	c69052
емва	c20134
кипиево	c55175
нювчим	c55237
нижний одес	c85462
язель	c26447
койтыбож	c85114
ермица	c55319
захарово	c85113
нижняя омра	c55274
зеландия	r23543
белгородская область	r10645
александровка	c85214
вознесеновка	c85217
хмелевое	c85216
уразово	c21954
ровеньки	c21955
красное	c21951
вейделевка	c21952
бирюч	c21953
валуйки	c20193
алексеевка	c20192
шебекино	c20196
короча	c20195
волоконовка	c26206
хмелевое	c48517
грайворон	c20194
вознесеновка	c48635
яковлево	c21949
ракитное	c21948
стрелецкое	c42676
красная яруга	c21943
ивня	c21947
пролетарский	c21946
томаровка	c21945
борисовка	c21944
белгород	c4
строитель	c20587
разумное	c42697
чернянка	c21700
прохоровка	c10648
старый оскол	c10649
купино	c48738
губкин	c10646
новый оскол	c10647
кемеровская область - кузбасс	r11282
листвянка	c85196
карагайла	c64068
новый каракан	c63983
малиновка	c85197
бачатский	c26533
николаевка	c64056
николаевка	c85198
тараданово	c64019
шишино	c64238
новокузнецк	c237
раздольный	c64196
яшкино	c11300
яя	c11301
мальцево	c26987
рассвет	c26986
журавлево	c64086
атаманово	c26984
калачево	c26985
междуреченск	c11287
ленинск-кузнецкий	c11285
крапивинский	c11284
киселевск	c11283
ижморский	c11281
гурьевск	c11280
большая талда	c64062
листвянка	c64119
большой барандат	c64113
чугунаш	c64110
комсомольск	c64117
школьный	c64080
большой берчикуль	c64114
анжеро-судженск	c11276
белово	c11277
артышта	c32134
красное	c64026
березовский	c11278
верх-чебула	c11279
карагайлинский	c84965
полысаево	c11292
опарино	c64231
тайга	c20645
шерегеш	c20820
осинники	c11290
прокопьевск	c11291
мундыбаш	c26993
промышленная	c11293
салаир	c11294
таштагол	c11295
тисуль	c11296
топки	c11297
тяжинский	c11298
юрга	c11299
кемерово	c64
мыски	c11288
грамотеино	c43956
белогорск	c23017
вишневка	c63969
краснобродский	c39505
мариинск	c11286
темиртау	c64107
трудармейский	c64078
калтан	c21703
каз	c64102
республика тыва	r10233
туран	c11335
кызыл	c11333
шивилиг	c64270
уюк	c64267
республика алтай	r10231
тюнгур	c21833
турочак	c11322
озеро-куреево	c63481
усть-кан	c26325
иогач	c63476
улаган	c26324
кош-агач	c11320
элекмонар	c42289
усть-сема	c42288
горно-алтайск	c11319
онгудай	c26323
манжерок	c63465
кызыл-озёк	c42283
майма	c11321
чемал	c21729
усть-кокса	c11323
чоя	c11324
шебалино	c11325
акташ	c26608
новгородская область	r10904
устрека	c66055
дуброви	c68663
волгино	c26370
уторгош	c66091
охона	c24503
кневицы	c66036
вотолино	c66035
яжелбицы	c66033
неболчи	c22470
пролетарий	c22471
угловка	c43511
тёсово-нетыльский	c85969
пола	c28835
селищи	c54604
чудово	c10925
холм	c10924
поддорье	c10921
пестово	c10920
старая русса	c10923
сольцы	c10922
валдай	c10907
боровичи	c10906
батецкий	c10905
дворец	c85280
подберезье	c43507
никольское	c68670
малая вишера	c10909
городня	c66015
волот	c10908
великий новгород	c22174
савино	c54546
дубровка	c54544
бронница	c54543
великий заход	c54526
полново	c54528
торбино	c66064
зарубино	c26523
едрово	c26467
марёво	c10910
мошенское	c10911
окуловка	c10912
демянск	c10913
крестцы	c10914
любытино	c10915
парфино	c10916
хвойная	c10917
шимск	c10918
залучье	c66083
крым	r977
новый свет	c26094
морское	c26095
генеральское	c26096
изобильное	c26097
марфовка	c26159
новониколаевка	c26158
горностаевка	c26157
владиславовка	c26151
приветное	c26099
великоселье	c26152
нижнезаморское	c26559
коктебель	c23024
черноморское	c23724
кировское	c23727
керчь	c11464
евпатория	c11463
инкерман	c23720
гаспра	c23723
октябрьское	c23722
нижнегорский	c23729
ленино	c23728
феодосия	c11469
трактовое	c26168
полтавка	c26169
щелкино	c20557
